ID;Titolo;Corpo;Reparto;Sentiment
239;Mini bar fornito;Mini bar ricco e rifornito ogni giorno. Prezzi onesti.;Housekeeping;Positivo
240;Pulizie tardive;Pulizie sempre dopo le 17. Impossibile riposarsi al pomeriggio.;Housekeeping;Negativo
241;Colazione varia;Molta scelta tra dolce e salato nel buffet a colazione. Tutto fresco e molto buono. Clima tranquillo.;F&B;Positivo
242;Carne troppa salata;Antipasti decenti ma la carne era troppo salata. Quasi immangiabile.;F&B;Negativo
243;Bidone puzzolente;Bidone della spazzatura nel corridoio che puzzava. Non svuotato.;Housekeeping;Negativo
244;Nessuno risponde;Telefono alla reception non rispondeva mai. Siamo scesi di persona e la ragazza era lì che scrollava video su TikTok. Inaccettabile.;Reception;Negativo
245;Cibo freddo;Caffè annacquato, uova e pancetta fredde. Qualità scadente.;F&B;Negativo
246;Asciugamani ruvidi;Asciugamani ruvidi come carta vetrata. Usurati e logori.;Housekeeping;Negativo
247;Asciugamani non cambiati;Asciugamani non sostituiti per tre giorni. Nonostante cartello.;Housekeeping;Negativo
248;Cuscini scomodi;Letto ok ma cuscini troppo alti e rigidi. Dormito male.;Housekeeping;Negativo
249;Prenotazione errata;Conferma email con date sbagliate. Hanno fatto storie e mi hanno fatto innervosire per un errore loro.;Reception;Negativo
250;Menu limitato;Cibo di qualità ma menu molto limitato. Dopo due sere ripetitivo.;F&B;Negativo
251;Parcheggio professionale;Ragazzo ha portato l'auto in parcheggio. Molto professionale.;Reception;Positivo
252;Posate macchiate;Cibo buono ma posate macchiate. Dovute chiedere altre.;F&B;Negativo
253;Cena a lume di candela;Cena sulla terrazza a lume di candela. Atmosfera magica e romantica.;F&B;Positivo
254;Pavimenti appiccicosi;Pavimento appiccicoso con macchie scure. Impossibile camminare a piedi nudi sopra tutto quel lerciume.;Housekeeping;Negativo
255;Materasso sfondato;Materasso sfondato al centro. Cuscini sottilissimi. Mal di schiena.;Housekeeping;Negativo
256;Mancanza tenda oscurante;Mancava tenda oscurante. Luce già alle 6. Impossibile dormire.;Housekeeping;Negativo
257;Acqua calda assente;Per due giorni niente acqua calda. Nessuno ci aveva informato.;Reception;Negativo
258;Angolo cottura;Suite con angolo cottura attrezzato. Comodità inaspettata.;Housekeeping;Positivo
259;Chef ottimo;Complimenti allo chef. Piatti squisiti, uno più gustoso dell'altro.;F&B;Positivo
260;Cantina vini;Cantina incredibile con vini pregiati. Degustazione guidata dal sommelier poliglotta.;F&B;Positivo
261;Garage stretto;Garage troppo stretto. Ho rischiato di rigare l'auto.;Reception;Negativo
262;Dispenser vuoti;I dispenser in camera erano vuoti. Nessun bagnoschiuma.;Housekeeping;Negativo
263;Pizza cruda;Impasto crudo e molliccio al centro, bordi bruciati. Immangiabile.;F&B;Negativo
264;Vetro rotto;C'era una crepa pericolosa nello specchio del bagno. Dovrebbero prestarci più attenzione.;Housekeeping;Negativo
265;Camera accogliente;Camera molto ordinata e profumata. Complimenti alle pulizie.;Housekeeping;Positivo
266;Informazioni turistiche;Box informazioni molto gentile e disponibile. Ottimo servizio.;Reception;Positivo
267;Kit ricco;Kit di cortesia ricco con molti prodotti omaggio. Gradito.;Housekeeping;Positivo
268;Prodotti di lusso;Sapone e shampoo di marca di lusso. Pelle morbida e idratata.;Housekeeping;Positivo
269;Pacco regalo;Al check-out ho ricevuto un pacco omaggio con prodotti locali. Pensiero graditissimo che non mi aspettavo.;Reception;Positivo
270;Titolare maleducato;Titolare alzava la voce con i camerieri davanti a tutti. Imbarazzante.;F&B;Negativo
271;Check-in caotico;Coda interminabile. Addetto lento e confuso. 40 minuti per la chiave.;Reception;Negativo
272;Gestione pacchi;Hanno accolto e custodito un pacco per noi. Organizzazione eccellente da parte del personale all’ingresso.;Reception;Positivo
273;Palestra pulita;Palestra attrezzata e sempre pulita. Asciugamani freschi a disposizione.;Housekeeping;Positivo
274;Asciugamani vecchi;Nel bagno della camera gli asciugamani logori e macchiati. Poco piacevoli alla vista.;Housekeeping;Negativo
275;Buffet dolce;Buffet dolce infinito. Torte fatte in casa spettacolari. Ingredienti di elevata qualità.;F&B;Positivo
276;Accoglienza in inglese;Personale parla inglese fluentemente. Comunicazione semplice e piacevole.;Reception;Positivo
277;Filetto tenerissimo;Filetto di manzo tenerissimo. Cottura perfetta, riduzione al Barolo divina. Sono rimasto piacevolmente sorpreso questa volta.;F&B;Positivo
278;Spogliatoi puliti;Spogliatoi spaziosi e piscina sempre in ordine. Teli abbondanti e asciutti. Esperienza positiva per noi amanti dello sport.;Housekeeping;Positivo
279;Parcheggio inesistente;Pubblicizzavano parcheggio ma era pieno. Pagato altrove lontano.;Reception;Negativo
280;Lingue straniere;Parlano tedesco e francese perfettamente. Alta professionalità.;Reception;Positivo
281;Check-in online rotto;Sito dell'hotel dava errori. Check-in online non funzionante.;Reception;Negativo
282;Servizio lento;Piatti tipici ma servizio molto lento. Il personale in sala era scarso di numero.;F&B;Negativo
283;Atmosfera accogliente;Atmosfera accogliente e profumo di pulito ovunque. Aria di casa.;Reception;Positivo
284;Ferro da stiro;Richiesto ferro da stiro, mai arrivato dopo tre ore. Inefficienti.;Reception;Negativo
285;Zanzare in camera;Mancano zanzariere. Ho passato una notte d'inferno con la stanza infestata dalle zanzare. Che fastidio.;Housekeeping;Negativo
286;Accappatoi morbidi;Accappatoi sofficissimi e ciabatte morbide. Piccoli lussi tessili per una vacanza all’insegna del relax.;Housekeeping;Positivo
287;Assistenza medica;Reception ha contattato medico per malore. Sempre premurosi, accoglienti e professionali.;Reception;Positivo
288;Navetta gratuita;Navetta gratuita per il centro. Autista puntuale e gentile.;Reception;Positivo
289;Sapone mancante;Dispenser del sapone vuoto appena arrivata. E nessuno mai arrivato a riempirlo quando l’ho fatto notare.;Housekeeping;Negativo
290;Informazioni errate;Reception parlava diverse lingue ma informazioni sugli orari dei bus sbagliate.;Reception;Negativo
291;Attesa eterna;Piatti creativi ma attesa interminabile. Quasi un'ora tra le portate. Se non siete capaci avrei preferito qualcosa di più basilare.;F&B;Negativo
292;Limousine;Trasferimento in limousine organizzato. Ingresso trionfale in hotel.;Reception;Positivo
293;Dolci da sogno;Pasticceria interna con dessert pazzeschi. Paradiso per chi ama i dolci. Buone anche le varie bevande;F&B;Positivo
294;Parcheggio lontano;Parcheggio a un chilometro. Navetta inesistente. Scomodissimo.;Reception;Negativo
295;Prenotazione non valida;Prenotazione online non risultava. Ce ne siamo dovuti andare.;Reception;Negativo
296;Cocktail annacquati;Barman affascinante ma cocktail annacquati. Poco alcol.;F&B;Negativo
297;Acqua versata addosso;Cameriere mi ha versato acqua addosso. Non si è scusato. Umiliante.;F&B;Negativo
298;Servizio caotico;Servizio caotico. Camerieri litigavano tra loro in sala.;F&B;Negativo
299;Torta compleanno;Torta personalizzata per il compleanno di mia madre. Meravigliosa. Sembrava un’opera d’arte di pasticceria.;F&B;Positivo
300;Ascensore guasto;Ascensore guasto per tutto il soggiorno. Quarto piano a piedi.;Reception;Negativo
301;Spettacolo brutto;Lo spettaco al piano bar di ieri sera è stato penoso. Il cantante stonato e caciarone. Siamo dovuti andare via perché mi facevo male le orecchie.;F&B;Negativo
302;Frutta fresca;Cestino di frutta fresca in hall tutto il giorno. Pausa sana.;F&B;Positivo
303;Acqua calda non arriva;Acqua calda non arrivava al mattino. Docce velocissime e spiacevoli. Sicuramente lo fanno perché vogliono risparmiare sull’acqua. Vergogna!;Housekeeping;Negativo
304;Colazione sempre uguale;Colazione sempre uguale per quattro giorni. Qualità scadente come se non bastasse.;F&B;Negativo
305;Nessun contatto emergenza;Questa notte ho avuto un problema al condizionatore. Reception chiusa, telefono non funzionava.;Reception;Negativo
306;Lavori senza preavviso;Lavori con trapani la mattina presto senza preavviso. Svegliati di soprassalto.;Reception;Negativo
307;Ascensore rotto;Accoglienza ok ma ascensore rotto. Valigie portate al terzo piano a piedi e non ho nemmeno ricevuto delle scuse.;Reception;Negativo
308;Indicazioni confuse;Indicazioni confuse per la camera. Ho vagato mezz'ora con le valigie come un pirla per colpa loro.;Reception;Negativo
309;Camera ben climatizzata;Il climatizzatore in camera funzionava alla perfezione e l’isolamente è molto buono.;Reception;Positivo
310;Bicchieri di plastica;Drink costoso servito in bicchiere di plastica. Poco elegante.;F&B;Negativo
311;Lettini comodissimi;Ombrellone e lettini comodissimi. Da notare il fatto che mi hanno permesso di tenere lo stesso posto per tutto il soggiorno.;Reception;Positivo
312;Zona living;Camera con zona living accogliente. Divano e poltrone. Come a casa.;Housekeeping;Positivo
313;Macedonia fresca;Macedonia di frutta freschissima a colazione. Deliziosa.;F&B;Positivo
314;Materasso nuovo;Si dorme divinamente. Sostegno perfetto per la schiena.;Housekeeping;Positivo
315;Odore di muffa;Dentro l’armadio c’era odore strano di muffa. Anta chiusa immediatamente.;Housekeeping;Negativo
316;Spremuta fresca;Ho apprezzato la spremuta d'arancia fatta al momento. Gusto intenso e vivo.;F&B;Positivo
317;Ascensore lento;Drink di benvenuto ma ascensore lentissimo. Si fermava ad ogni piano.;Reception;Negativo
318;Cestino picnic;Cestino da picnic preparato su richiesta. Panini gourmet e vino. Una coccola gradita e non scontata.;F&B;Positivo
319;Attenzione disabili;Grande attenzione ai clienti con disabilità. Mi hanno aiutato in carrozzina. Il personale è stato veramento caloroso con me.;Reception;Positivo
320;Hotel climatizzato;Nonostante temperature ostili, all'interno si stava benissimo grazie all’ottimo impianto di climatizzazione.;Reception;Positivo
321;Cena romantica;Cena di anniversario indimenticabile. Atmosfera intima e raffinata. Anche a mia moglie è piaciuto molto.;F&B;Positivo
322;Angolo caffè 24h;Molto apprezzabile l’angolo con caffè e tisane 24 ore su 24. Sempre a disposizione.;F&B;Positivo
323;Moquette macchiata;Credo che la moquette che ho trovato in camera venga lavata da anni. Macchiata e sporca.;Housekeeping;Negativo
324;Cuscini vecchi;Tutti i cuscini erano vecchi, sfondati e sottilissimi. Impossibile una situazione del genere. Peccato.;Housekeeping;Negativo
325;Panorama mozzafiato;La vista dal balcone della camera sulla città vale tutto il prezzo. Mozzafiato.;Housekeeping;Positivo
326;Tour privato;Mi hanno accompagnato personalmente e fornito una mappa dell’hotel, mai vista così tanta disponibilità.;Reception;Positivo
327;Computer rotto;Check-out interminabile per computer bloccato. Mezz'ora di attesa.;Reception;Negativo
328;Servizio in camera;Servizio in camera impeccabile. Cena discreta, calda e puntuale.;F&B;Positivo
329;Doppio addebito;Doppio addebito sulla carta per lo stesso soggiorno. Litigato per rimborso.;Reception;Negativo
330;Conto errato;Check-out con conto errato. Mini bar non utilizzato addebitato.;Reception;Negativo
331;Topper memory;Materasso con topper extra in memory foam. Paradisiaco.;Housekeeping;Positivo
332;Piatto sbagliato;Cameriere ha portato piatto sbagliato. Come se non bastasse aveva un’aria scocciata senza nemmeno darci delle scuse.;F&B;Negativo
333;Dolci tipici;Ho adorato i dolci tipici locali fatti in casa. Seadas e pardulas deliziose. Anche il resto mi è piaciuto.;F&B;Positivo
334;Lampadina rotta;Lampadina del bagno fulminata. Segnalato il problema ma mai sostituita. Odio essere ignorato in questo modo.;Housekeeping;Negativo
335;Un solo addetto;C’è solo un solo addetto per troppi clienti al banco. Sempre in attesa. Dovrebbero assumera altra gente alla svelta.;Reception;Negativo
336;Porzioni minime;Porzioni esageratamente scarse, nemmeno stessimo parlato di un hotel a 5 stelle. Usciti affamati e arrabbiati.;F&B;Negativo
337;Vino torbido;Vino torbido e ossidato. Cameriere ha insistito fosse normale. A quanto pare di vini non ne capisce nulla.;F&B;Negativo
338;Parcheggio utile ma caro;Parcheggio custodito comodo ma forse per 25 euro al giorno è un po’ caro. Da altre parti costa di meno.;Reception;Positivo
339;Tapparelle rotte;Tapparelle rotte non si alzavano. Vissuto al buio tutto il giorno. Urge manutenzione generale.;Housekeeping;Negativo
340;Materasso sfondato;Materasso vecchio con molle che si sentivano. Dolori alla schiena.;Housekeeping;Negativo
341;Ottima esperienza;Soggiornare qui è stato veramente un piacere. Grazie a tutti davvero, tornerò quando ripasserò per le zone.;Reception;Positivo
342;Asciugamani morbidi;Asciugamani morbidissimi e profumati. Cambiati ogni giorno. Apprezzo sempre personale attento all’igiene;Housekeeping;Positivo
343;Ravioli pazzeschi;Non sono un esperto ma questi ravioli erano davvero squisiti.;F&B;Positivo
344;Bagaglio smarrito;Il mio bagaglio dimenticato in un deposito. Ore perse per ritrovarlo, ho avuto paura di averlo perso per sempre.;Reception;Negativo
345;Climatizzatore rumoroso;Impossibile dormire con quel ronzio costante del climatizzatore. Se poi lo spengo fa troppo caldo. Che cavolo!;Housekeeping;Negativo
346;Troppa confusione;L'area comune era sempre caotica e disordinata, non ci si poteva stare. Confusione.;Reception;Negativo
347;Personale disorganizzato;I camerieri non erano male, ma portavano piatti sbagliati. Probabilmente i più hanno poca esperienza.;F&B;Negativo
348;Manca rampa;Per le persone disabili non è semplice entrare. Manca rampa.;Reception;Negativo
349;Odore di fogna;Zona tranquilla ma odore di fogna in bagno persistente. Non si può stare con quella puzza in camera, me la sono fatta cambiare quanto prima.;Housekeeping;Negativo
350;Tessuti di qualità;Tessuti di qualità pregiata. Mantenuti impeccabili.;Housekeeping;Positivo
351;Lenzuola di ottima fattura;Le lenzuola erano ottime sia dal punto di vista estetico, che da quello olfattivo. Al tatto il tessuto sembrava di qualità, ma non me ne intendo molto,;Housekeeping;Positivo
352;Pizza in piscina;Pizza ai lettini in piscina. Calda e fragrante. Comodissimo.;F&B;Positivo
353;Biancheria mancante;Divano letto senza lenzuola. Ho fatto richiesta ma un'ora di attesa.;Housekeeping;Negativo
354;Prezzi eccessivi;30 euro per la carbonara che ho ordinato mi sembra troppo. Eccessivo. Devono abbassare i prezzi.;F&B;Negativo
355;Biscotti umidi;I biscotti erano umidi, secondo me le confezioni erano aperte da giorni e sarebbe. Anche il latte male perché acido. Unica cosa che si salva il caffè, ma non lo fanno loro.;F&B;Negativo
356;Assistenza ristorante;I ragazzi della reception ci hanno consigliato su nostra richiesta ristorante stellato e lo hanno anche prenotato per noi. Indimenticabile.;Reception;Positivo
357;Nessuna istruzione TV;Nessun foglio su come funziona la TV. Dieci minuti per accenderla. Capisco di essere un po’ imbranata ma mi sarei aspettata un supporto maggiore.;Reception;Negativo
358;Coperte leggere;Il materasso era ok ma coperte troppo leggere. Abbiamo avuto freddo.;Housekeeping;Negativo
359;Doccia intasata;Doccia intasata che allagava il bagno. Asciugamani per tamponare.;Housekeeping;Negativo
360;Porzioni minuscole e prezzi folli;Piatti minuscoli a prezzi veramente esagerati, il livello era anche poco più che scarso. Siamo usciti affamati e siamo dovuti andare da un’altra parte. ;F&B;Negativo
361;Armadio spazioso;Armadio enorme con tante grucce di legno, magari averne uno così anche a casa. Veramente funzionale.;Housekeeping;Positivo
362;Pranzo in ritardo;Pranzo arrivato con oltre un'ora di ritardo. Freddo e scadente.;F&B;Negativo
363;Piatti finiti;Menu limitato, molti piatti finiti subito. Mi sono dovuto accontentare di quel che restava.;F&B;Negativo
364;Ci tornerò il prima possibile;Soggiorno impeccabile e personale gentilissimo. Tutto perfetto davvero.;Reception;Positivo
365;Fiori e torta;Hanno organizzato sorpresa per compleanno. Fiori e torta in camera.;Reception;Positivo
366;Servizio impeccabile;Personale veramente molto gentile e simpatico. Esperienza piacevolissima.;Reception;Positivo
367;Cuscini puzzolenti;Tutti i cuscini avevano un odore acre di sudore e aloni gialli. Che schifezza. Ma puliscono ogni tanto o no?;Housekeeping;Negativo
368;Doccia sporca;All'interno della doccia erano presenti capelli. Posso dire che mi faceva schifo o qualcuno si offende?;Housekeeping;Negativo
369;Vetri puliti;Vetri delle finestre sempre perfettamente puliti. Senza aloni.;Housekeeping;Positivo
370;Coperta offerta;Ho fermato la signora delle pulizie che ci ha offerto coperta di lana. Gesto di cortesia molto apprezzato.;F&B;Positivo
371;Servizio impeccabile;Il cameriere giovane era perfetto: discreto, attento, professionale. Grazie di tutto.;F&B;Positivo
372;Prenotazione errata;Alla reception non riuscivano a trovavare la mia stanza al computer. Questo errore mi ha fatto perdere tempo.;Reception;Negativo
373;Vino caldo e mancanza di competenza;Vino rosso servito caldo. Cameriere incompetente su tutti i fronti.;F&B;Negativo
374;Cibo ottimo;Sia la cena che il pranzo sono stati deliziosi. Ottimo il servizio al tavolo, soprattutto se consideri che eravamo nel weekend.;F&B;Positivo
375;Cuscini duri;Cuscini troppo duri. Ho avuto mal di collo per tutto il soggiorno.;Housekeeping;Negativo
376;Conto prima di finire;Cameriere ha portato il conto mentre mangiavamo, ma ce la fai? Veramente scortese come atteggiamento, lo faro presente.;F&B;Negativo
377;Finestre bloccate;Camera calda ma finestre bloccate. Non si poteva aprire. Ho sudato più di quando vado a giocare a padel.;Housekeeping;Negativo
378;Mobili vecchi;La mia camera avrebbe bisogno di una ristrutturazione. Sembra cadere a pezzi!;Housekeeping;Negativo
379;Ascensore sporco;Ascensore sporco di fango. Scale con mozziconi. Sembra quasi un posto abbandonato.;Housekeeping;Negativo
380;Nessun riscontro;Lamentela per rumore notturno, nessun riscontro da parte dei ragazzi della reception. Non ho potuto fare cambio camera.;Reception;Negativo
381;Maniglie rotte;Maniglie armadio rotte e taglienti. Pericoloso per bambini. Non mi hanno nemmeno permesso di cambiare stanza.;Housekeeping;Negativo
382;Pulizia rapida;Team delle pulizie velocissimo e di ottimo livello. Preparati.;Housekeeping;Positivo
383;Secondi mediocri;Secondi di carne cotti male e duri, il resto era mangiabile.;F&B;Negativo
384;Piatti surgelati;Tutto il cibo sapeva di surgelato, nulla di fresco. Mi aspettavo molto meglio visto quello che si paga;F&B;Negativo
385;Rumore notturno;Posizione centrale ma rumore dai locali fino alle 3. Pareti non isolate a sufficienza.;Housekeeping;Negativo
386;Check-out tardivo;Hanno accordato check-out tardivo senza problemi. Flessibili.;Reception;Positivo
387;Cena così così;Cena qualità media. Prezzi comunque accettabili. Per quella che è stata l’esperienza complessiva mi sento comunque di consigliarlo.;F&B;Positivo
388;Personale sgarbato;Addetti alle pulizie sgarbati. Mi hanno obbligato ad uscire.;Housekeeping;Negativo
389;Wifi assente;Wifi in camera non funzionava quasi mai e questo mi ha creato del disagio perché dovevo mandare email urgenti. Il personale per lo meno era decente.;Reception;Negativo
390;Aria centralizzata;Aria condizionata centralizzata. Impossibile regolare temperatura autonomamente. Io ho avuto freddo.;Reception;Negativo
391;Nessuno risponde;Servizio pessimo, ho provato a chiamare il centralino e il telefono squilla a vuoto. Nessuno risponde.;Reception;Negativo
392;Rumore alle 7;Martellate dal piano di sopra alle 7 del mattino per lavori in corso. Se la camera fosse stata insonorizzata meglio forse sarei pure riuscito a dormirci su.;Housekeeping;Negativo
393;Pizza bruciata;Pizza bruciata sul bordo, cruda al centro. Immangiabile.;F&B;Negativo
394;Tovaglie sporche;La tovaglia piena di macchie e briciole, probabilmente non era stata lavata. Davvero disgustoso.;F&B;Negativo
395;Check-in rapidissimo;Check-in rapidissimo e gentile. Dopo viaggio stancante, perfetto.;Reception;Positivo
396;Sala meeting;Sala meeting spaziosa e luminosa e attrezzature all’interno perfette. Anche i miei clienti ne sono rimasti colpiti.;Reception;Positivo
397;Bicchieri design;Bicchieri e stoviglie di design. Eleganti e piacevoli.;F&B;Positivo
398;Doppi vetri;Doppi vetri insonorizzati. Silenzio totale nonostante la strada anche quando fuori c’era traffico.;Housekeeping;Positivo
399;Troppe perdite di tempo;Le attese per ricevere i servizi sono troppo lunghe. Servirebbe più personale.;Reception;Negativo
400;Quadri bellissimi;Nei corridoi pieno di quadri bellissimi, sembra quasi di essere in un museo d’arte. Arredamento curato nella stanza.;Housekeeping;Positivo
